X,Y,OBJECTID,SITE,ADDRESS,MUNICIPALI,ZIP,Additional,SCHOOL_DIS,OPEN_CLOSE,BREAKFAST_,LUNCH_STAR,DAYS,OPENING_DA,CLOSING_DA,COUNTY_PAR,FID_1
-80.011225097760018,40.290643017761113,63,Shiloh Baptist Church,2624 Brandis Street,SOUTH PARK,15129, ,SOUTH PARK, CLOSED,8 - 9 am,11:30 am - 12:30 pm,M - Th,2017-06-26T00:00:00.000Z,2017-08-03T00:00:00.000Z, ,63
-79.904489573335127,40.402355380496488,64,Sixteenth Street Playground,Maple Street & 16th Ave., HOMESTEAD,15120,Charlie Batch Playground,STEEL VALLEY, OPEN, ,11:30 am - 1:30 pm,M - F,2017-06-19T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,64
-79.840027186205646,40.327486517089142,65,South Hall High School,1916 Eden Park Boulevard,MCKEESPORT,15132,Cafeteria,MCKEESPORT, OPEN,8:30 - 9:30 am,11 am - 1 pm,M - Th,2017-06-13T00:00:00.000Z,2017-07-31T00:00:00.000Z, ,65
-80.067475859823048,40.436045830650642,66,St. Philip School Cafeteria,52 W. Crafton Ave,CRAFTON,15205, ,CRAFTON, OPEN,8 - 9 am,11:30 am - 1:30 pm,M - F,2017-06-26T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,66
-80.079535085875477,40.469176048136148,67,Sto/Ken/Rox Boys & Girls Club,Willow & Deweyville Road,MCKEES ROCKS,15136, ,STO-ROX, CLOSED, ,11:30 am - 1:30 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,67
-79.858729494670399,40.342556052819646,68,Twin Rivers School,1602 Cornell Street,MCKEESPORT,15132, ,MCKEESPORT, OPEN,8:30 - 9:30 am,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-06-29T00:00:00.000Z, ,68
-79.888533920304155,40.417246618436764,69,Union Baptist Church,2117 Collingwood Ave.,SWISSVALE,15218, ,WOODLAND HILLS, OPEN,8 - 9 am,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,69
-79.997279937618998,40.444228825799712,70,Urban Pathways Charter School,925 Penn Ave.,PITTSBURGH,15222, ,PITTSBURGH, CLOSED,7:30 - 8:30 am,11:45 am - 12:45 pm,M - F,2017-06-12T00:00:00.000Z,2017-07-07T00:00:00.000Z, ,70
-79.836434095157301,40.504294821348992,71,Verona United Presbyterian Church,566 South Ave.,VERONA,15146,Cribs Field, RIVERVIEW, OPEN,8:30 - 9:30 am,11:30 am - 1:30 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-04T00:00:00.000Z, ,71
-79.887321115277189,40.399132405436205,72,Whitaker Borough Building,124 Grant Ave.,WHITAKER,15120, , STEEL VALLEY, OPEN, ,11 am - 1 pm,M - F,2017-06-19T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,72
-79.812404023926547,40.388129543743503,73,Wilmerding Ymca,1 Memorial Dr,WILMERDING,15148,1 Iceplant Hill Road,EAST ALLEGHENY, OPEN,8  - 9 am,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,73
-79.895843081992609,40.288459348720039,74,Woodlawn,Bataan & Soltis Street,CLAIRTON,15025, ,CLAIRTON, OPEN, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,74
-79.893688460154294,40.292005209173112,75,Worthington Avenue Playground,10th Street & Worthington Avenue,CLAIRTON,15025, , CLAIRTON, OPEN, ,noon - 2 pm,M - F,2017-07-03T00:00:00.000Z,2017-07-07T00:00:00.000Z, ,75
-79.820354826713867,40.425907666205887,76,Nicholas Field,Rear Farnsworth & Craig Street, CLAIRTON,15025, , CLAIRTON, OPEN, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,76
-79.820354826713867,40.425907666205887,77,Linhart Park,George Street & James Street, WILKINS TOWNSHIP,15221, , WOODLAND HILLS, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,77
-79.857183076237959,40.370767293475865,78,Polish Hill Field,Bauch & Belmont Street,DUQUESNE,15112,Duquesne Field,DUQUESNE, OPEN, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,78
-79.885220590357903,40.288768477183496,79,St. Clair Pavilion,Mulberry Ally,CLAIRTON,15025,St.Clair,CLAIRTON, OPEN, ,noon - 2 pm,M - F,2017-06-21T00:00:00.000Z,2017-07-07T00:00:00.000Z, ,79
-79.707634970577374,40.458065541191843,80,Sampson Ymca,2200 Golden Mile Hwy,PLUM,15239, , , CLOSED, ,11am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-07-21T00:00:00.000Z, ,80
